Current Rank,New Rank,DiscordID,Name,Nickname
Official,Chosen,763400835118923817,belleza,belleza
Official,Chosen,770372920543019038,de5t1ny_vr,de5t1ny_vr
Dancer,Official,601695890843107331,notlvst,7.62
Trial,Dancer,175264832172326912,haruyuukie,Kyumi2g
Trial,Dancer,273170101442969600,cloudgazerr,cloudgazerr
Trial,Dancer,278931094965846016,kimlou,kimlou
Trial,Dancer,416550030183366657,katyzon,katyzon
Trial,Dancer,478536402150096896,ariileiin,Ariilein
Trial,Dancer,927435147014438982,paytota,paytota
Trial,Dancer,935582309028069436,ailaurmom,ailaurmom
